sk_tree_metrics_id,fk_species_id,fk_image_number,fk_device_id,capture_count,tree_height,tree_radius,trunk_diameter,confidence_score,health_score,year_planted,tree_center_lattitude,tree_center_longitude
1,2,21,,,,,,,,,,
2,1,29,,,,,,,,,,
3,3,29,,,,,,,,,,
4,1,47,,,,,,,,,,
5,3,47,,,,,,,,,,
6,4,47,,,,,,,,,,
7,1,48,,,,,,,,,,
8,3,48,,,,,,,,,,
9,4,48,,,,,,,,,,
10,1,32,,,,,,,,,,
11,3,32,,,,,,,,,,
12,2,20,,,,,,,,,,
13,1,28,,,,,,,,,,
14,3,28,,,,,,,,,,
15,1,5,,,,,,,,,,
16,4,5,,,,,,,,,,
17,1,38,,,,,,,,,,
18,3,38,,,,,,,,,,
19,4,38,,,,,,,,,,
20,1,42,,,,,,,,,,
21,3,42,,,,,,,,,,
22,1,18,,,,,,,,,,
23,2,18,,,,,,,,,,
24,3,18,,,,,,,,,,
25,1,2,,,,,,,,,,
26,3,2,,,,,,,,,,
27,1,37,,,,,,,,,,
28,3,37,,,,,,,,,,
29,4,37,,,,,,,,,,
30,1,49,,,,,,,,,,
31,3,49,,,,,,,,,,
32,1,25,,,,,,,,,,
33,3,25,,,,,,,,,,
34,4,25,,,,,,,,,,
35,1,30,,,,,,,,,,
36,1,41,,,,,,,,,,
37,3,41,,,,,,,,,,
38,1,50,,,,,,,,,,
39,1,23,,,,,,,,,,
40,3,23,,,,,,,,,,
41,1,24,,,,,,,,,,
42,3,24,,,,,,,,,,
43,1,36,,,,,,,,,,
44,3,36,,,,,,,,,,
45,4,36,,,,,,,,,,
46,1,19,,,,,,,,,,
47,3,19,,,,,,,,,,
48,4,19,,,,,,,,,,
49,1,40,,,,,,,,,,
50,3,40,,,,,,,,,,
51,1,33,,,,,,,,,,
52,3,33,,,,,,,,,,
53,4,33,,,,,,,,,,
54,1,26,,,,,,,,,,
55,3,26,,,,,,,,,,
56,1,1,,,,,,,,,,
57,3,1,,,,,,,,,,
58,1,6,,,,,,,,,,
